,name,2001_05_30,2001_06_30,2001_07_30,2001_08_28,2001_09_26,2001_10_28,2001_11_31,2002_00_30,2002_01_27,2002_02_29,2002_03_29,2002_04_29,2002_05_29,2002_06_31,2002_07_29,2002_08_29,2002_09_30,2002_10_29,2002_11_31,2003_00_31,2003_01_28,2003_02_31,2003_03_30,2003_04_30,2003_05_30,2003_06_31,2003_07_31,2003_08_30,2003_09_31,2003_10_30,2003_11_31,2004_00_31,2004_01_29,2004_02_31,2004_03_30,2004_04_30,2004_05_30,2004_06_31,2004_07_30,2004_08_30,2004_09_31,2004_10_30,2004_11_31,2005_00_31,2005_01_28,2005_02_31,2005_03_30,2005_04_31,2005_05_30,2005_06_31,2005_07_31,2005_08_30,2005_11_03,2006_00_04,2006_01_02,2006_02_01,2006_03_02,2006_04_01,2006_05_01,2006_06_02,2006_07_02,2006_08_02,2006_09_01,2006_10_02,2006_11_01,2007_00_02,2007_01_03,2007_02_03,2007_03_01,2007_04_05,2007_05_02,2007_06_02,2007_07_05,2007_08_02,2007_09_04,2007_10_04,2007_11_03,2008_00_03,2008_01_07,2008_05_01,2008_06_02,2008_07_03,2008_08_03,2008_09_06,2008_10_02,2008_11_03,2009_00_02,2009_01_01,2009_02_05,2009_03_07,2009_04_01,2009_05_04,2009_06_02,2009_07_01,2009_08_05,2009_09_02,2009_10_02,2009_11_02,2010_00_05,2010_01_07,2010_02_07,2010_03_05,2010_04_15,2010_06_06,2010_06_30,2010_08_11,2010_09_02,2010_10_03,2010_11_07,2011_00_02,2011_01_08,2011_02_08,2011_03_03,2011_04_02,2011_05_05,2011_05_27,2011_06_08,2011_07_03,2011_08_10,2011_09_09,2011_10_07,2011_11_04,2012_00_08,2012_01_05,2012_02_11,2012_03_08,2012_04_09,2012_05_10,2012_06_04,2012_07_10,2012_08_02,2012_09_05,2012_10_04,2012_11_02,2013_00_05,2013_01_08,2013_02_11,2013_03_07,2013_04_08,2013_05_09,2013_06_07,2013_06_12,2013_07_04,2013_08_11,2013_09_10,2013_10_09,2013_11_06,2014_00_01,2014_01_08,2014_02_03,2014_03_10,2014_04_07,2014_05_08,2014_06_06,2014_07_11,2014_08_01,2014_09_03,2014_10_08,2014_11_07,2015_00_06,2015_01_05,2015_02_07,2015_03_13,2015_04_13,2015_05_06,2015_06_12,2015_07_06,2015_08_05,2015_09_04,2015_10_07,2015_11_04,2016_00_02,2016_01_02,2016_02_03,2016_03_07,2016_04_06,2016_05_05,2016_06_04,2016_07_06,2016_08_08,2016_09_07,2016_10_05,2016_11_04,2017_00_07,2017_01_08,2017_02_07,2017_03_09,2017_04_06,2017_05_03,2017_06_07,2017_07_02,2017_08_06,2017_09_05,2017_10_12,2017_11_09,2018_00_03,2018_01_08,2018_02_07,2018_03_01,2018_04_06,2018_05_10,2018_06_07,2018_07_01,2018_08_03,2018_09_05,2018_10_08,2018_11_02,2019_00_04,2019_01_06,2019_02_02,2019_03_07,2019_04_04,2019_05_09,2019_06_06,2019_07_05,2019_08_09,2019_09_05,2019_10_03,2019_11_06,2020_00_05,2020_01_04,2020_02_04,2020_03_02,2020_04_02,2020_05_01,2020_06_04,2020_07_02,2020_08_06,2020_09_04
0,C,20.24,20.77,20.75,20.77,19.75,19.21,20.14,18.83,19.89,19.85,19.82,19.99,19.57,19.25,18.16,18.7,18.73,17.5,17.26,18.25,18.54,17.21,18.02,18.5,18.52,17.97,17.78,18.31,17.0,18.47,18.6,18.2,18.93,17.75,17.95,18.29,17.14,16.33,17.12,18.17,17.99,19.7,20.71,19.82,19.47,18.63,18.52,19.37,19.85,19.47,19.16,18.77,19.63,19.01,18.33,17.79,17.69,17.69,18.25,17.83,17.43,18.06,17.66,17.2,16.62,15.81,16.1,15.63,14.94,15.15,15.97,16.36,15.7,14.91,14.59,13.97,13.17,13.92,14.86,15.51,15.95,16.18,15.38,15.57,15.28,15.02,15.93,15.84,15.86,15.47,16.13,16.78,17.32,17.22,16.86,16.84,17.32,16.28,16.22,16.6,17.28,18.06,18.19,18.48,17.87,17.15,17.18,16.72,16.08,15.82,14.99,15.26,16.16,16.17,16.28,16.28,17.28,17.39,18.0,17.71,17.32,17.06,16.97,16.52,17.09,17.55,17.35,17.72,18.33,18.94,19.3,19.82,19.22,18.7,17.85,17.08,17.14,17.86,18.73,17.81,17.63,17.63,15.97,16.98,17.25,18.16,17.89,17.94,18.33,17.53,17.63,16.93,16.19,17.14,16.4,16.72,17.66,17.47,17.59,16.7,16.49,16.64,15.75,16.85,16.79,16.15,14.73,15.62,16.19,17.15,16.46,16.04,15.59,14.6,13.91,13.22,12.38,12.24,11.3,10.95,9.84,9.2,8.73,9.35,8.44,7.74,6.97,7.0,6.85,7.32,6.48,7.38,8.37,9.29,10.16,11.04,11.86,12.76,13.59,14.0,14.94,14.66,14.97,15.45,15.38,14.4,14.28,13.34,12.42,13.31,14.08,14.24,13.3,14.21,15.15,15.21,16.18,16.04,16.09,15.77,16.77,16.33,16.72,17.07,17.19,16.45,16.98,15.95,16.95
1,PHP,1.9,1.38,1.55,1.55,1.78,4.87,7.27,8.27,7.44,7.03,5.05,5.22,5.18,6.5,5.35,4.96,5.28,7.3,7.61,4.49,4.01,4.61,4.53,4.78,3.83,4.68,5.44,5.8,3.57,5.74,6.31,7.26,7.63,9.76,7.17,8.71,10.32,10.43,8.23,7.42,7.59,11.45,9.48,10.28,9.41,8.72,9.2,7.97,9.17,7.87,8.89,9.67,9.63,9.4,8.92,9.95,10.88,10.22,9.59,10.35,9.64,9.13,9.86,9.21,8.54,7.94,8.85,9.46,8.64,8.74,8.87,8.65,9.7,10.2,9.5,8.69,8.39,9.2,9.89,10.21,9.52,9.35,9.24,8.61,8.94,9.13,8.88,8.78,9.48,9.89,9.92,9.67,9.27,9.39,10.16,10.36,10.18,9.77,10.07,10.0,9.91,9.66,9.07,8.57,9.18,8.37,8.32,7.81,7.51,7.83,6.97,6.57,6.58,6.51,6.6,6.6,6.18,6.13,6.6,6.82,6.1,6.0,5.7,5.64,5.55,5.29,5.71,5.29,5.01,5.52,5.61,5.67,5.73,5.54,5.55,5.07,4.81,5.43,5.78,5.99,7.19,7.19,6.69,6.43,6.09,5.38,5.28,4.61,4.22,3.7,2.77,3.39,2.85,2.92,2.86,3.12,2.94,3.04,2.75,3.78,3.17,4.0,3.01,2.72,2.87,2.89,2.73,2.53,2.56,3.25,2.79,2.71,2.77,2.77,2.99,2.99,3.23,3.27,3.17,2.85,2.74,3.13,2.92,2.56,3.07,3.01,3.38,2.69,2.77,3.09,2.29,2.21,2.79,1.9,1.59,2.53,3.42,4.01,4.22,3.32,2.88,2.83,2.93,2.78,2.79,2.38,2.44,2.68,2.27,2.42,2.24,2.49,2.57,2.17,2.08,1.86,1.91,1.72,2.05,2.41,2.02,2.02,2.37,2.49,2.26,1.9,2.24,2.49,2.09
2,JavaScript,1.55,1.72,1.66,1.63,1.51,1.47,1.46,2.73,1.48,1.47,1.37,1.36,1.43,1.15,2.02,1.91,1.98,2.49,2.42,2.92,2.81,2.63,3.26,1.72,1.69,1.79,1.9,1.66,1.92,1.74,1.74,2.14,2.06,1.78,1.78,1.45,1.61,1.68,1.51,1.27,1.2,1.59,1.7,1.78,1.65,1.64,1.44,1.39,1.78,1.92,1.77,2.04,1.84,1.54,1.51,1.73,1.57,2.19,1.46,2.11,2.02,2.44,2.2,2.31,2.56,2.84,2.98,3.49,3.14,3.07,2.62,2.51,2.58,2.72,2.68,2.93,2.73,3.2,2.33,2.93,2.76,2.89,3.13,2.67,2.93,2.97,3.36,3.54,3.61,3.68,3.55,4.02,3.51,2.81,3.0,3.03,2.92,3.51,2.71,2.64,2.65,2.47,2.08,2.43,2.4,1.66,1.66,1.66,1.51,1.59,2.56,1.87,1.51,1.39,1.5,1.5,2.24,1.56,1.47,2.19,2.56,2.2,2.32,2.46,3.39,2.88,2.13,1.47,1.45,1.37,1.33,1.26,1.28,1.32,1.98,1.42,1.37,1.51,1.54,1.65,1.84,1.84,2.09,2.01,2.04,2.05,1.85,1.58,1.93,1.9,1.75,1.79,2.0,1.81,2.17,2.45,1.77,2.09,2.43,3.27,3.51,3.63,3.3,3.13,2.3,2.19,2.16,2.34,2.29,2.47,2.36,2.57,2.2,2.33,2.57,2.34,2.58,2.64,2.71,2.93,2.75,2.71,2.86,2.85,2.87,2.67,2.85,3.07,3.02,2.61,2.1,2.02,3.01,2.97,2.47,3.47,3.16,3.92,3.49,2.92,2.5,2.83,2.41,2.13,2.28,2.66,3.06,3.3,2.85,2.43,2.51,2.69,2.72,2.3,2.26,2.13,2.08,1.93,2.09,2.45,2.06,2.05,2.38,2.68,2.27,2.48,2.87,2.54,2.14
3,Python,1.25,1.13,1.2,1.17,1.28,1.23,1.04,1.02,0.99,0.99,1.07,1.06,1.13,1.08,1.22,1.08,1.19,1.0,1.0,1.03,0.97,0.99,1.01,1.16,1.28,1.3,1.42,1.49,1.77,1.1,1.13,1.01,1.02,1.01,4.57,6.58,4.96,4.7,5.6,4.44,5.2,3.03,2.84,2.51,2.42,2.7,2.48,2.8,2.52,2.88,3.03,2.88,2.68,2.6,2.67,3.09,2.76,3.04,3.46,3.02,3.07,3.14,3.47,3.64,3.76,3.5,3.57,3.9,3.81,3.78,3.16,3.02,2.75,3.03,3.43,4.23,4.7,5.54,4.76,4.9,4.97,4.98,5.01,4.56,5.14,4.17,4.73,4.57,5.18,6.08,5.55,4.76,4.43,4.49,3.93,3.9,4.67,5.19,4.45,4.31,4.23,4.21,4.1,4.22,4.22,4.58,4.86,5.68,6.48,6.26,7.04,5.74,4.93,4.58,3.9,3.9,3.58,3.41,4.0,3.94,3.62,3.49,3.21,3.15,3.29,3.66,3.82,3.85,4.0,3.88,3.86,3.9,4.06,3.85,4.17,4.95,4.39,4.44,4.32,4.18,4.03,4.03,3.6,3.17,3.11,3.11,2.21,2.37,2.16,2.02,1.99,3.06,2.71,2.66,3.12,2.78,2.33,2.59,2.29,2.61,2.88,2.61,2.69,3.72,4.0,4.26,4.07,3.66,4.51,3.77,4.43,3.85,4.18,4.26,3.33,3.79,3.9,4.17,4.4,4.3,3.77,3.57,4.24,3.46,4.04,3.92,3.46,3.55,4.33,3.54,3.69,2.98,3.8,4.48,3.78,4.68,5.17,5.87,5.8,5.19,5.76,6.36,6.99,7.65,7.16,7.68,8.38,8.29,7.57,8.26,8.17,7.83,8.53,9.26,10.02,9.87,9.09,9.84,10.31,9.7,9.35,10.11,9.31,9.12,8.36,9.09,9.69,10.47,11.28
4,Visual Basic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.32,0.26,0.26,0.59,0.56,0.34,0.48,0.43,0.43,0.48,0.46,0.31,0.48,0.53,0.36,0.48,0.8,0.78,0.98,1.27,1.22,0.92,0.88,0.84,0.6,0.77,0.89,1.04,1.01,0.89,1.1,1.13,1.07,1.25,1.25,1.32,1.84,1.93,1.97,1.69,1.56,1.8,1.86,1.75,1.26,1.91,1.49,1.31,1.53,1.75,2.06,2.23,1.07,2.03,2.33,2.13,2.97,3.17,2.42,2.71,2.06,2.46,2.22,2.39,2.58,2.45,2.56,2.27,2.32,2.35,2.52,2.52,2.34,2.66,3.17,3.3,2.96,2.82,3.17,3.25,3.39,3.11,3.05,2.57,1.98,2.74,2.91,2.47,3.26,4.07,4.08,4.95,4.12,3.76,4.25,4.76,5.31,5.88,6.49,7.13,6.46,7.09,6.43,5.8,5.19,4.62,4.21,3.69,3.29,3.74,4.23,4.74,5.29,5.86,5.26,4.72,4.18,4.69,5.23,4.66,4.12,3.97
5,SQL,2.96,2.77,2.38,2.36,2.24,1.84,1.87,1.94,2.09,2.06,2.33,2.36,2.53,2.66,2.65,2.54,2.64,2.38,2.52,2.56,2.51,2.56,2.65,3.12,3.04,2.99,3.24,3.72,3.7,2.93,3.1,3.51,3.1,2.97,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,2.69,2.65,1.99,2.34,2.33,2.32,2.06,2.04,1.84,2.18,2.28,1.9,1.93,2.27,2.56,2.22,1.98,1.63,1.94,1.93,1.69,1.84,1.5,1.53,1.83,2.17,2.09,1.73,1.4,1.46,1.76,1.57
6,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.07,0.06,0.07,0.07,0.09,0.09,0.04,0.06,0.09,0.08,0.06,0.07,0.07,0.08,0.07,0.07,0.08,0.08,0.09,0.1,0.1,0.1,0.11,0.09,0.1,0.1,0.11,0.1,0.14,0.15,0.14,0.2,0.17,0.18,0.33,0.36,0.36,0.54,0.54,0.56,0.49,0.42,0.43,0.37,0.37,0.36,0.4,0.39,0.42,0.5,0.52,0.6,0.62,0.5,0.38,0.38,0.44,0.44,0.43,0.44,0.42,0.42,0.45,0.44,0.46,0.53,0.48,0.54,0.48,0.51,0.51,0.39,0.65,0.55,0.41,0.25,0.25,0.25,0.23,0.26,0.38,0.67,0.41,0.52,0.8,1.52,1.55,1.63,1.04,0.96,0.95,1.03,1.44,1.52,1.23,1.01,1.04,0.99,1.01,1.12,1.05,1.19,1.29,1.27,1.33,1.54,1.51,1.61,1.68,1.74,1.72,1.83,1.79,1.92,2.02,2.14,2.19,2.15,2.11,1.77,1.82,1.68,1.6,1.91,2.55,2.09,1.13,1.81,1.18,1.45,1.15,0.96,1.02,1.21,1.41,1.11,1.33,1.04,1.28,1.18,0.95,0.91,0.84,0.82,1.05,1.26,0.98,0.99,0.81,1.01,1.26,1.54,1.85,2.19,2.41,2.79,2.37,1.99
7,C++,14.2,16.11,16.12,15.85,16.1,15.67,14.96,15.18,15.54,15.91,15.37,14.86,14.18,14.94,14.77,15.9,15.03,13.64,13.19,14.63,15.53,14.57,15.8,15.58,16.72,16.58,17.53,16.17,16.31,17.42,16.08,15.71,14.5,15.99,12.27,12.55,13.44,15.31,14.92,15.02,13.86,11.91,11.93,11.34,11.63,10.19,9.9,9.72,11.06,10.51,11.17,11.82,11.03,11.46,11.3,11.16,10.9,10.94,10.67,9.78,10.25,10.75,11.06,11.05,10.41,10.42,10.77,11.11,10.72,10.11,11.12,10.5,10.11,9.94,9.58,8.75,7.87,8.73,9.27,10.81,10.69,10.06,10.72,10.95,10.36,10.1,10.12,9.63,10.36,10.74,11.07,10.59,10.42,10.5,9.99,9.88,10.0,9.18,9.71,9.45,9.61,9.71,10.38,10.47,9.66,9.81,9.8,9.5,9.01,8.78,8.19,8.75,9.23,9.15,9.83,9.83,9.02,8.43,8.85,9.07,8.08,8.25,8.05,7.85,8.05,8.9,9.82,9.36,9.12,9.33,9.15,9.26,9.7,9.2,9.14,8.76,9.11,9.71,9.2,8.82,8.75,8.75,9.37,8.66,8.66,8.37,8.27,7.56,6.89,6.31,6.14,5.99,6.43,5.52,4.7,4.67,4.87,6.1,6.1,6.7,6.61,6.64,6.96,7.87,7.76,8.64,7.74,6.78,5.75,6.2,5.94,6.91,6.91,6.72,5.92,6.7,6.2,6.31,5.8,6.66,5.8,5.41,5.34,6.3,5.43,5.18,4.55,4.75,5.72,5.58,5.55,5.56,5.01,5.34,4.72,5.6,5.73,6.45,7.22,7.67,8.34,7.62,7.47,7.39,7.59,8.28,7.56,8.16,7.44,8.13,8.84,8.1,7.38,6.7,6.06,5.64,6.23,5.6,6.2,5.57,6.16,6.79,6.78,6.13,5.95,6.21,6.84,7.11,6.94
8,Java,26.49,25.03,24.66,24.82,25.68,24.37,24.2,24.06,24.01,24.41,25.05,25.19,24.2,24.53,22.89,24.48,24.2,24.12,24.23,24.79,24.78,24.6,24.66,23.11,22.34,23.21,22.24,21.9,23.08,25.01,23.57,22.56,23.17,24.24,18.69,17.54,17.05,17.0,15.9,17.05,14.8,16.33,17.48,18.34,18.87,16.98,17.4,18.57,19.66,21.21,22.44,21.87,22.13,22.25,22.43,21.89,21.28,21.32,21.13,21.85,22.38,21.53,21.17,20.4,19.91,19.16,18.98,18.04,18.36,19.14,20.03,21.01,21.77,21.7,21.62,20.54,20.05,20.85,21.48,20.89,21.34,21.57,20.71,20.95,20.3,17.92,19.02,19.4,19.8,19.34,19.54,20.15,20.45,19.53,19.38,18.65,18.37,17.06,17.48,17.35,17.51,18.05,17.96,18.67,17.99,17.92,18.17,18.51,18.0,17.77,18.48,19.71,19.04,18.16,18.58,18.58,19.25,19.41,18.76,17.91,17.87,17.56,17.47,17.05,17.11,17.03,16.6,16.26,16.09,16.35,16.27,17.19,17.46,17.57,17.42,18.39,18.16,17.68,16.91,16.66,15.91,15.91,15.98,16.15,16.11,16.52,17.31,16.52,17.32,16.41,17.35,16.91,16.11,15.69,14.98,14.14,13.51,14.39,14.96,15.53,15.34,15.58,16.04,16.87,17.82,17.73,19.27,19.56,19.54,20.4,20.97,21.47,21.14,20.53,20.85,20.96,20.79,19.8,19.01,18.24,18.8,18.75,17.86,17.28,16.68,16.38,15.57,14.64,14.49,13.77,12.96,12.69,12.43,13.23,13.27,14.22,14.99,14.94,15.78,16.38,15.37,16.14,16.88,17.44,17.8,16.75,15.93,16.9,15.88,14.88,15.04,16.0,15.0,15.06,16.03,16.66,16.88,16.25,17.25,16.9,17.36,17.78,16.73,16.28,16.1,15.1,14.43,13.48,12.56
9,C#,0.38,0.43,0.38,0.39,0.42,0.76,0.59,0.62,0.74,0.74,1.18,1.16,1.46,1.36,1.46,1.65,1.78,2.38,2.45,1.99,1.98,2.38,1.88,1.94,1.78,2.0,2.06,1.94,1.9,1.71,1.8,2.18,2.24,2.14,1.88,1.65,1.67,1.63,1.63,1.64,1.5,1.95,2.2,2.36,2.53,2.82,2.77,2.78,3.14,3.48,3.29,3.46,3.31,3.55,3.97,3.15,3.95,3.27,3.24,3.4,2.68,2.99,3.06,3.02,3.17,3.52,3.19,3.37,3.55,3.66,3.48,3.71,3.99,3.58,3.74,3.92,3.99,4.86,4.51,4.06,4.0,3.7,4.33,3.77,4.03,4.58,5.61,5.06,4.32,4.06,4.27,4.54,4.54,4.44,4.19,4.42,5.35,6.26,5.77,5.01,4.26,4.43,4.78,5.73,4.99,5.02,4.96,5.71,6.69,6.23,6.81,7.21,7.19,7.54,6.84,6.84,6.22,6.04,6.82,6.72,7.32,8.21,8.76,8.65,8.24,7.35,6.82,7.03,6.67,6.59,6.6,6.53,5.59,5.55,6.2,6.68,6.6,6.15,6.12,5.78,6.21,6.21,6.12,5.56,5.72,6.02,5.62,5.85,6.45,5.57,4.82,3.75,3.94,4.05,3.41,4.35,4.75,4.98,4.33,5.05,5.74,4.92,4.95,5.26,5.06,5.65,4.84,4.91,4.82,4.32,4.11,4.71,4.4,4.27,3.8,4.48,3.79,3.92,4.91,5.49,4.37,3.66,3.17,4.04,4.9,4.41,3.58,3.46,3.53,3.52,4.2,4.78,3.86,3.01,2.82,3.75,4.45,5.07,5.27,4.4,4.31,3.79,3.54,3.3,3.49,3.95,3.45,3.28,2.85,3.27,3.52,3.98,4.48,4.36,3.84,3.4,3.86,4.32,4.8,5.35,5.93,5.32,4.74,4.29,4.73,5.25,4.68,4.58,4.16
